archivo,fila,columna,tau,error_rms,error_relativo
IMG_20260425_184935.jpg,0,4,0.08921218253276045,0.009484027756591464,0.078003105680113
IMG_20260425_184935.jpg,0,5,0.07903633611088809,0.02081505542178969,0.14941217556467523
IMG_20260425_184935.jpg,0,6,0.056498681547725256,0.015729185877968916,0.08263899137864532
IMG_20260425_184935.jpg,0,7,0.05802103627538849,0.011560642583039868,0.06264771102255456
IMG_20260425_184935.jpg,1,0,0.06437642132155826,0.026547520372236514,0.15314154017689371
IMG_20260425_184935.jpg,1,1,0.12030139118949197,0.023652203010559338,0.24463842094679078
IMG_20260425_184935.jpg,1,2,0.3779093003233783,0.006262123484593677,0.2286408879039745
IMG_20260425_184935.jpg,1,3,0.2753426876929915,0.011871658117555533,0.2938476549950363
IMG_20260425_184935.jpg,1,4,0.08593476660868857,0.00983329549577056,0.08026370159121983
IMG_20260425_184935.jpg,1,5,0.03814733448540655,0.024216729442945246,0.0863417007241657
IMG_20260425_184935.jpg,1,6,0.046754080301333795,0.018216966613758146,0.07944435300622665
IMG_20260425_184935.jpg,1,7,0.142461852086949,0.012758641093515582,0.1657150509845948
IMG_20260425_184935.jpg,2,0,0.0441386144658462,0.031175785113908054,0.12625450016472886
IMG_20260425_184935.jpg,2,1,0.09932574529976297,0.02909923061635817,0.25132583032131006
IMG_20260425_184935.jpg,2,2,0.2181872739260052,0.00868974792116839,0.17560003032082033
IMG_20260425_184935.jpg,2,3,0.1696338256245779,0.019815428717218673,0.2883683296300415
IMG_20260425_184935.jpg,2,4,0.18684887079276885,0.011219005189874925,0.1898621311220371
IMG_20260425_184935.jpg,2,5,0.2027325350779791,0.00936941267472046,0.17716741196910438
IMG_20260425_184935.jpg,2,6,0.09523437816128544,0.012742784804101133,0.11281033133479088
IMG_20260425_184935.jpg,2,7,0.10177206347646092,0.011306695858046686,0.10706190830591497
IMG_20260425_184935.jpg,3,0,0.06873528170061008,0.02568895993045408,0.1609455826231063
IMG_20260425_184935.jpg,3,1,0.09329110508001928,0.01910778474313431,0.16873411127061716
